Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,62.4,64.42,62.2,64.11,64.11,21761000
2018-01-03,64.2,65.05,63.11,63.45,63.45,22607500
2018-01-04,62.57,63.71,61.14,62.92,62.92,49731500
2018-01-05,63.32,63.45,62.4,63.32,63.32,22956000
2018-01-08,63.2,67.4,63.1,67.28,67.28,49297000
2018-01-09,67.03,67.76,65.48,66.74,66.74,35733000
2018-01-10,66.44,67.4,66.0,66.96,66.96,21549500
2018-01-11,67.05,68.96,66.65,67.59,67.59,33227500
2018-01-12,67.73,68.08,66.73,67.24,67.24,24125500
2018-01-16,67.51,69.0,66.96,68.01,68.01,32371500
2018-01-17,68.09,69.8,67.95,69.43,69.43,35517500
2018-01-18,69.13,70.46,68.75,68.91,68.91,28429000
2018-01-19,69.0,70.12,68.52,70.0,70.0,24441500
2018-01-22,69.88,71.57,69.84,70.31,70.31,31052000
2018-01-23,72.0,72.1,70.2,70.56,70.56,27327000
2018-01-24,70.92,70.95,68.7,69.18,69.18,26437500
2018-01-25,69.65,69.84,67.28,67.53,67.53,33701500
2018-01-26,68.3,68.8,67.14,68.57,68.57,22697000
2018-01-29,67.97,70.17,67.66,69.91,69.91,23735500
2018-01-30,69.03,69.65,68.43,69.16,69.16,23588500
2018-01-31,69.5,71.24,69.04,70.86,70.86,31070500
2018-02-01,70.2,71.93,69.73,69.85,69.85,20988500
2018-02-02,69.69,70.39,68.1,68.75,68.75,18524000
2018-02-05,67.59,68.89,66.6,66.63,66.63,22320500
2018-02-06,65.04,67.24,64.7,66.79,66.79,25442000
2018-02-07,67.8,69.2,67.13,69.0,69.0,34846000
2018-02-08,68.66,69.72,62.92,63.05,63.05,51573000
2018-02-09,63.99,64.2,58.95,62.08,62.08,64668500
2018-02-12,63.23,63.62,61.25,63.15,63.15,31139000
2018-02-13,63.0,64.84,62.5,64.73,64.73,22801000
2018-02-14,64.17,65.23,63.7,64.46,64.46,19753500
2018-02-15,64.9,66.82,64.48,66.81,66.81,29564500
2018-02-16,66.5,68.62,66.33,67.1,67.1,28213000
2018-02-20,66.89,68.17,66.3,66.95,66.95,20047000
